Rank,Country/Region,2022,2021,2020,2019,2018,Population
106,Portugal,8.1,7.1,9.1,9.3,9.4,10325147
107,Costa Rica,7.9,7.8,8.2,10.4,--,5153957
108,Argentina,7.7,8.2,14.2,14.6,--,45808747
109,Ireland,7.5,8,8.6,10.6,9.5,5033165
110,Luxembourg,7.4,9,9,9.6,11.2,640064
111,Canada,7.4,8.5,7.3,7.7,7.9,38246108
112,Bolivia,7.3,--,--,--,--,12079472
113,Suriname,7.0,--,--,--,--,612985
114,Norway,7.0,7.5,5.7,6.9,7.6,5408320
115,Sweden,6.2,6.6,5,6.6,7.4,10415811
116,Belize,5.6,--,--,--,--,400031
117,Andorra,5.4,7.3,7.4,--,--,79034
118,Trinidad and Tobago,5.1,7.1,--,--,--,1525663
119,Finland,5.0,5.5,5,5.6,6.6,5541017
120,Estonia,4.9,5.9,5.9,6.2,7.2,1330932
121,New Zealand,4.8,6.8,7,7.5,7.7,5122600
122,Puerto Rico,4.3,4.8,3.7,10.2,13.7,3263584
123,Australia,4.2,5.7,7.6,8,6.8,25688079
124,Grenada,3.8,5.5,--,--,--,124610
125,New Caledonia,3.5,3.8,3.7,--,--,271030
126,Iceland,3.4,6.1,7.2,5.5,5,372520
127,"Bonaire, Saint Eustatius and Saba",3.3,5.1,--,--,--,26221
128,Bermuda,3.0,--,--,--,--,63867
129,U.S. Virgin Islands,2.9,4.5,3.7,3.5,--,105870
130,French Polynesia,2.5,--,--,--,--,304032
131,Guam,1.3,--,--,--,--,170534
